NUMBER_OF_PICKUPS,NUMBER_OF_DROPS,PICKUP_DATE,ORDER_BOOK_DATE,SHIPMENT_AMOUNT,MILEAGE,HAZMAT,SERVICE_LEVEL,WEIGHT,LINEAR_FEET,EQUIP_TYPE,ORIGIN_LOCATION,DESTINATION_LOCATION
1,1,2023-01-28T00:00:00Z,2023-01-24T00:00:00Z,5964.19,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-02T00:00:00Z,2022-12-30T00:00:00Z,5892.8,2308,0,1,39600,48,R,AL_MOB,GA_ATL
1,1,2023-01-16T00:00:00Z,2023-01-10T00:00:00Z,5943.83,2308,0,1,36000,48,R,AL_MOB,GA_ATL
1,1,2023-01-23T00:00:00Z,2023-01-19T00:00:00Z,5906.82,2718,0,1,42500,48,R,CA_LAX,AL_MOB
1,1,2023-01-21T00:00:00Z,2023-01-17T00:00:00Z,5911.82,2718,0,1,42500,48,R,CA_LAX,AL_MOB
1,1,2023-01-28T00:00:00Z,2023-02-08T00:00:00Z,5952.39,2666,1,1,8025,52,V,FL_MIA,AL_MOB
1,1,2023-01-04T00:00:00Z,2022-12-31T00:00:00Z,5891.09,2490,0,3,17050,48,R,FL_MIA,AL_MOB
1,1,2023-01-14T00:00:00Z,2023-01-10T00:00:00Z,5875.41,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-25T00:00:00Z,2023-01-23T00:00:00Z,5868,1732,0,3,39050,48,R,AL_MOB,AL_MOB
1,1,2023-01-25T00:00:00Z,2023-01-23T00:00:00Z,5936,1732,0,3,27255,48,R,AL_MOB,AL_MOB
1,1,2023-01-31T00:00:00Z,2023-01-31T00:00:00Z,5900.36,2186,0,3,38477,48,R,FL_MIA,GA_ATL
1,1,2023-01-25T00:00:00Z,2023-01-20T00:00:00Z,5883.44,1990,0,3,31390,48,R,AL_MOB,AL_MOB
1,1,2023-01-03T00:00:00Z,2023-01-02T00:00:00Z,5852.27,2797,0,1,10859,52,V,OH_CLE,MO_KAN
1,1,2023-01-21T00:00:00Z,2023-01-17T00:00:00Z,5855.76,1861,0,3,40000,48,R,FL_MIA,IL_RFD
1,1,2023-01-28T00:00:00Z,2023-01-23T00:00:00Z,5805.82,1990,0,3,33000,48,R,AL_MOB,AL_MOB
1,1,2023-01-02T00:00:00Z,2022-12-30T00:00:00Z,5871,1990,0,3,32660,48,R,AL_MOB,AL_MOB
1,1,2023-01-04T00:00:00Z,2022-12-29T00:00:00Z,5877.84,2718,0,1,42500,48,R,CA_LAX,AL_MOB
1,1,2023-01-14T00:00:00Z,2023-01-09T00:00:00Z,5823.61,1990,0,3,33000,48,R,AL_MOB,AL_MOB
1,1,2023-01-13T00:00:00Z,2023-01-09T00:00:00Z,5844.71,1990,0,3,32020,48,R,AL_MOB,AL_MOB
1,1,2023-01-17T00:00:00Z,2023-01-18T00:00:00Z,5869.35,2797,0,1,8748,52,V,OH_CLE,MO_KAN
1,1,2023-01-21T00:00:00Z,2023-01-17T00:00:00Z,5780.51,2522,0,1,42000,48,R,CA_LAX,GA_ATL
1,1,2023-01-12T00:00:00Z,2023-01-09T00:00:00Z,5848.48,1990,0,3,32990,48,R,AL_MOB,AL_MOB
1,1,2023-01-04T00:00:00Z,2023-01-03T00:00:00Z,5767.97,2578,0,3,42008,48,R,AL_MOB,GA_SAV
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,5806.97,1732,0,3,36550,48,R,AL_MOB,AL_MOB
1,1,2023-01-25T00:00:00Z,2023-01-23T00:00:00Z,5774.5,3078,0,1,5197,52,V,OH_CLE,FL_MIA
1,1,2023-01-21T00:00:00Z,2023-01-17T00:00:00Z,5735.68,2576,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-09T00:00:00Z,2023-01-05T00:00:00Z,5733.95,2718,0,1,42500,48,R,CA_LAX,AL_MOB
1,1,2023-01-07T00:00:00Z,2023-01-05T00:00:00Z,5778.79,1990,0,3,31690,48,R,AL_MOB,AL_MOB
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,5795.33,1807,0,1,41472,48,R,GA_SAV,FL_LAK
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,5775.33,1807,0,1,41472,48,R,GA_SAV,FL_LAK
1,1,2023-01-26T00:00:00Z,2023-01-20T00:00:00Z,5781.33,1807,0,1,41472,48,R,GA_SAV,FL_LAK
1,1,2023-01-28T00:00:00Z,2023-01-24T00:00:00Z,5760.1,2576,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-07T00:00:00Z,2023-01-03T00:00:00Z,5727.66,1861,0,3,40000,48,R,FL_MIA,IL_RFD
1,1,2023-01-11T00:00:00Z,2023-01-09T00:00:00Z,5759.27,2578,0,3,42048,48,R,AL_MOB,GA_SAV
1,1,2023-01-29T00:00:00Z,2023-01-25T00:00:00Z,5746.29,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-14T00:00:00Z,2023-01-10T00:00:00Z,5739.57,2576,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-12T00:00:00Z,2023-01-06T00:00:00Z,5699.77,1830,0,3,40000,48,R,FL_MIA,AL_MOB
1,1,2023-01-14T00:00:00Z,2023-01-10T00:00:00Z,5729.51,2186,0,3,40000,48,R,FL_MIA,GA_ATL
1,1,2023-01-11T00:00:00Z,2023-01-07T00:00:00Z,5708.99,2522,0,1,42000,48,R,CA_LAX,GA_ATL
1,1,2023-01-23T00:00:00Z,2023-01-19T00:00:00Z,5725.29,2538,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-24T00:00:00Z,2023-01-20T00:00:00Z,5625.07,2538,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-28T00:00:00Z,2023-01-24T00:00:00Z,5701.31,2538,0,1,42000,48,R,CA_LAX,FL_MIA
1,1,2023-01-20T00:00:00Z,2023-01-11T00:00:00Z,5606.67,1868,0,1,32943,52,V,MO_KAN,CA_LAX
1,1,2023-01-20T00:00:00Z,2023-01-11T00:00:00Z,5633.67,1868,0,1,29301,52,V,MO_KAN,CA_LAX
1,1,2023-01-26T00:00:00Z,2023-01-26T00:00:00Z,5611.94,2530,0,3,37821,48,R,FL_MIA,AL_MOB
1,1,2023-01-07T00:00:00Z,2023-01-08T00:00:00Z,5579.89,2186,0,3,33885,48,R,FL_MIA,GA_ATL
1,1,2023-01-21T00:00:00Z,2023-01-21T00:00:00Z,5611.83,2415,0,3,20623,48,R,FL_MIA,NC_CHA
1,1,2023-01-16T00:00:00Z,2023-01-16T00:00:00Z,5566.05,2530,0,3,28651,48,R,FL_MIA,AL_MOB
1,1,2023-01-12T00:00:00Z,2023-01-12T00:00:00Z,5543.34,2530,0,3,30284,48,R,FL_MIA,AL_MOB
